hour,totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints,convertedStoragePoints_cfx
2023-09-17 00:00:00+00:00,3759941166.294151,5422441176.398317,405792552.9647316,3261892.6875,145006486.87217525,2023-09-17T00:33:56+00:00,3261892.6875,701488128.0,231494464.0,685047.0
2023-09-17 01:00:00+00:00,3759953518.467612,5422453528.571778,405793552.9647316,3262257.9375,144979689.99848196,2023-09-17T01:33:56+00:00,3262257.9375,701488128.0,231495808.0,685047.0
2023-09-17 02:00:00+00:00,3759966148.32983,5422466158.433997,405794552.9647316,3262633.5625,144960767.1604403,2023-09-17T02:33:57+00:00,3262633.5625,701488128.0,231496128.0,685047.0
2023-09-17 03:00:00+00:00,3759978726.8535247,5422478736.957691,405803552.9647316,3263004.375,144961379.50050852,2023-09-17T03:33:56+00:00,3263004.375,701488128.0,231495552.0,685047.0
2023-09-17 04:00:00+00:00,3759991302.443311,5422491312.547478,405792552.9647316,3263585.75,144746774.8163784,2023-09-17T04:33:56+00:00,3263585.75,701488128.0,231495680.0,685047.0
2023-09-17 05:00:00+00:00,3760003848.735445,5422503858.839611,405794552.9647316,3264060.6875,144761917.11938336,2023-09-17T05:33:56+00:00,3264060.6875,701488128.0,231495872.0,685047.0
2023-09-17 06:00:00+00:00,3760016409.352988,5422516419.457154,405827552.9647316,3264256.25,144763253.39965534,2023-09-17T06:33:56+00:00,3264256.25,701492224.0,231495488.0,685051.0
2023-09-17 07:00:00+00:00,3760029164.037456,5422529174.141623,405860552.9647316,3264635.125,144724981.25305203,2023-09-17T07:33:55+00:00,3264635.125,701492224.0,231497344.0,685051.0
2023-09-17 08:00:00+00:00,3760041632.768552,5422541642.872719,405939552.9647316,3265016.125,144607431.5866636,2023-09-17T08:33:55+00:00,3265016.125,701492224.0,231496384.0,685051.0
2023-09-17 09:00:00+00:00,3760051364.316569,5422551374.420735,405991552.9647316,3265393.8125,144557776.87738082,2023-09-17T09:33:55+00:00,3265393.8125,701492224.0,231523712.0,685051.0
2023-09-17 10:00:00+00:00,3760064108.020011,5422564118.124178,405994552.9647316,3265770.375,144562890.56273967,2023-09-17T10:33:56+00:00,3265770.375,701492224.0,231523712.0,685051.0
2023-09-17 11:00:00+00:00,3760076660.547544,5422576670.651711,405995552.9647316,3266147.9375,144561490.85238206,2023-09-17T11:33:55+00:00,3266147.9375,701492224.0,231523776.0,685051.0
2023-09-17 12:00:00+00:00,3760089290.694962,5422589300.799129,406004552.9647316,3266521.9375,144562177.62154302,2023-09-17T12:33:56+00:00,3266521.9375,701492224.0,231523904.0,685051.0
2023-09-17 13:00:00+00:00,3760101763.984494,5422601774.088661,406005552.9647316,3266898.0,144523528.6061481,2023-09-17T13:33:56+00:00,3266898.0,701502464.0,231524352.0,685061.0
2023-09-17 14:00:00+00:00,3760114271.8453608,5422614281.949527,406029552.9647316,3267275.625,144520343.51503864,2023-09-17T14:33:56+00:00,3267275.625,701502464.0,231524544.0,685061.0
2023-09-17 15:00:00+00:00,3760126829.780961,5422626839.885127,406209552.9647316,3267652.1875,144536160.96194997,2023-09-17T15:33:58+00:00,3267652.1875,701502464.0,231523136.0,685061.0
2023-09-17 16:00:00+00:00,3760139389.257303,5422639399.361469,406212555.93139714,3268027.4375,144549086.90984422,2023-09-17T16:33:56+00:00,3268027.4375,701502464.0,231524992.0,685061.0
2023-09-17 17:00:00+00:00,3760151854.84129,5422651864.9454565,406213555.93139714,3268402.8125,144549087.70909607,2023-09-17T17:33:56+00:00,3268402.8125,701502464.0,231525248.0,685061.0
2023-09-17 18:00:00+00:00,3760161728.321981,5422661738.426147,406214555.93139714,3268781.75,144518641.3049205,2023-09-17T18:33:58+00:00,3268781.75,701502464.0,231522560.0,685061.0
2023-09-17 19:00:00+00:00,3760174277.4055176,5422674287.509685,406209555.93139714,3269157.3125,144541840.24599388,2023-09-17T19:33:57+00:00,3269157.3125,701502464.0,231521984.0,685061.0
2023-09-17 20:00:00+00:00,3760186989.147559,5422686999.251725,406207101.3097037,3269532.1875,144506627.93606466,2023-09-17T20:33:57+00:00,3269532.1875,701502464.0,231522048.0,685061.0
2023-09-17 21:00:00+00:00,3760199457.950831,5422699468.054997,406195101.3097037,3269904.875,144444199.46702895,2023-09-17T21:33:57+00:00,3269904.875,701502464.0,231524480.0,685061.0
2023-09-17 22:00:00+00:00,3760212153.859829,5422712163.963996,406195101.3097037,3270280.3125,144448567.00604653,2023-09-17T22:33:57+00:00,3270280.3125,701502464.0,231524288.0,685061.0
2023-09-17 23:00:00+00:00,3760224819.0649166,5422724829.169084,406261101.3097037,3270656.375,144448179.44729462,2023-09-17T23:33:57+00:00,3270656.375,701502464.0,231524352.0,685061.0
2023-09-18 00:00:00+00:00,3760237383.389813,5422737393.493979,406267101.3097037,3271032.875,144469174.7725059,2023-09-18T00:33:56+00:00,3271032.875,701502464.0,231524224.0,685061.0
2023-09-18 01:00:00+00:00,3760249774.779552,5422749784.883719,406268101.3097037,3271400.875,144467504.53373882,2023-09-18T01:33:57+00:00,3271400.875,701502464.0,231524224.0,685061.0
2023-09-18 02:00:00+00:00,3760262223.7360806,5422762233.840247,406268809.2717837,3271776.875,144470896.1712435,2023-09-18T02:33:58+00:00,3271776.875,701502464.0,231523776.0,685061.0
2023-09-18 03:00:00+00:00,3760271671.401775,5422771681.505941,406268450.2425,3272153.875,144464615.13181177,2023-09-18T03:33:56+00:00,3272153.875,702041088.0,231522624.0,685587.0
2023-09-18 04:00:00+00:00,3760283638.254531,5422783648.358697,406269614.6362626,3271991.75,144458606.74574092,2023-09-18T04:33:56+00:00,3271991.75,702795776.0,232080576.0,686324.0
2023-09-18 05:00:00+00:00,3760295977.090386,5422795987.194552,406262614.6362626,3272351.6875,144445916.42490166,2023-09-18T05:33:56+00:00,3272351.6875,702875136.0,232102080.0,686401.5
2023-09-18 06:00:00+00:00,3760308298.755554,5422808308.859721,406262614.6362626,3272728.6875,144464171.24979302,2023-09-18T06:33:55+00:00,3272728.6875,703131136.0,232102720.0,686651.5
2023-09-18 07:00:00+00:00,3760320666.713209,5422820676.817376,406264614.6362626,3273110.75,144464262.61456928,2023-09-18T07:33:55+00:00,3273110.75,703131136.0,232102016.0,686651.5
2023-09-18 08:00:00+00:00,3760333354.132765,5422833364.236932,406266614.6362626,3273499.3125,144441044.17671978,2023-09-18T08:33:55+00:00,3273499.3125,703131136.0,232102080.0,686651.5
2023-09-18 09:00:00+00:00,3760340873.944888,5422840884.049054,406315614.6362626,3271993.0,144291825.20036635,2023-09-18T09:33:55+00:00,3271993.0,708309504.0,234047104.0,691708.5
2023-09-18 10:00:00+00:00,3760353465.317263,5422853475.42143,406330614.6362626,3272369.6875,144391911.6423141,2023-09-18T10:33:55+00:00,3272369.6875,708309504.0,234047552.0,691708.5
2023-09-18 11:00:00+00:00,3760365929.899144,5422865940.00331,406334614.6362626,3272797.125,144383933.95104262,2023-09-18T11:33:57+00:00,3272797.125,708309504.0,234047040.0,691708.5
2023-09-18 12:00:00+00:00,3760375810.1253104,5422875820.229477,406344614.6362626,3273172.1875,144385320.1050936,2023-09-18T12:33:54+00:00,3273172.1875,708309504.0,234047744.0,691708.5
2023-09-18 13:00:00+00:00,3760388361.5291295,5422888371.633296,406376614.6362626,3273338.1875,144385374.97287643,2023-09-18T13:33:54+00:00,3273338.1875,708309504.0,234047744.0,691708.5
2023-09-18 14:00:00+00:00,3760400691.72083,5422900701.824996,406383614.6362626,3273376.75,144372125.2096329,2023-09-18T14:33:54+00:00,3273376.75,708309504.0,234047232.0,691708.5
2023-09-18 15:00:00+00:00,3760413352.037905,5422913362.142072,406379614.6362626,3273377.375,144373750.13200584,2023-09-18T15:33:54+00:00,3273377.375,708309504.0,234046912.0,691708.5
2023-09-18 16:00:00+00:00,3760425824.516999,5422925834.621165,406345515.4563616,3273377.875,144410091.46349958,2023-09-18T16:33:55+00:00,3273377.875,708309504.0,234047936.0,691708.5
2023-09-18 17:00:00+00:00,3760438312.0720057,5422938322.176172,406361515.4563616,3273379.0625,144325065.3200011,2023-09-18T17:33:54+00:00,3273379.0625,708309504.0,234047680.0,691708.5
2023-09-18 18:00:00+00:00,3760450788.068331,5422950798.172498,406351061.3565606,3273381.1875,144326099.69993845,2023-09-18T18:33:54+00:00,3273381.1875,708309504.0,234045376.0,691708.5
